./.devin/rules/hard-constraints.yaml:98:52: [error] syntax error: found unknown escape character 's' (syntax)
./bunnyshell.yaml:387:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:388:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:389:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:392:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:398:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:399:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:402:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:411:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:412:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:421:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:422:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:423:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:426:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:429:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:430:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:435:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:438:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:439:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:448:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:449:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:450:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:453:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:454:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:458:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:461:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:462:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:467:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:468:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:469:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:472:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:475:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:476:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:479:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:502:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:503:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:506:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:507:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:508:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:511:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:514:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:515:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:520:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:521:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:529:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:530:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:531:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:534:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:535:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:539:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:542:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:543:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:549:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:550:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:557:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:558:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:559:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:562:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:563:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:567:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:570:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:571:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:575:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:577:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:578:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:585:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:586:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:587:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:590:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:591:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:595:5: [error] wrong indentation: expected 2 but found 4 (indentation)
./bunnyshell.yaml:596:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:600:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:604:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:608:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:27:5: [error] wrong indentation: expected 2 but found 4 (indentation)
./bunnyshell-pr.yaml:28:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:34:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:35:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:38:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:51:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:52:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:61:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:63:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:64:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:65:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:68:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:69:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:73:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:79:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:80:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:83:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:85:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:99:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:100:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:109:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:110:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:111:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:114:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:120:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:121:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:124:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:126:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:133:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:142:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:143:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:144:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:147:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:153:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:154:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:157:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:174:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:175:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:184:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:185:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:186:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:189:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:195:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:196:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:199:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:206:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:207:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:216:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:217:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:218:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:221:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:227:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:228:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:231:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:256:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:257:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:266:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:268:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:269:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:270:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:273:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:274:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:278:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:284:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:285:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:288:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:302:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:303:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:312:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:313:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:314:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:317:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:323:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:324:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:327:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:341:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:345:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:346:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:347:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:350:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:356:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:357:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:360:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:377:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:378:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:387:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:388:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:389:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:392:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:398:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:399:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:402:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:411:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:412:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:421:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:422:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:423:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:426:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:429:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:430:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:435:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:438:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:439:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:448:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:449:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:450:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:453:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:454:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:458:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:461:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:462:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:467:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:468:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:469:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:472:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:475:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:476:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:479:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:502:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:503:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:506:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:507:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:508:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:511:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:514:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:515:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:520:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:521:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:529:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:530:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:531:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:534:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:535:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:539:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:542:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:543:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:549:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:550:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:557:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:558:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:559:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell-pr.yaml:562:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:563:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:567:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell-pr.yaml:570:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell-pr.yaml:571:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:575:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:577:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:578:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell-pr.yaml:585:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell-pr.yaml:586:21: [error] wrong indentation: expected 18 but found 20 (indentation)
